HPIrank	Country	ISO	Continent	Pop_thousands	LifeExpectancy	Ladderoflife EcoFootprint HPI	Biocapacityforyear GDPpc
105	Canada	CAN	2	37411.0	82.4	7.11	8.15	40.2	1.56	48881
106	Bulgaria	BGR	7	7000.1	75.0	5.11	3.83	40.1	1.56	23266
107	Myanmar	MMR	8	54045.4	67.1	4.43	1.75	40.0	1.56	5142
108	Cameroon	CMR	5	25876.4	59.3	4.94	1.24	39.9	1.56	3642
109	Gabon	GAB	5	2172.6	66.5	4.91	2.32	39.9	1.56	14950
110	South Korea	KOR	8	51225.3	83.0	5.90	6.45	39.8	1.56	42879
111	Cote d'Ivoire	CIV	5	25716.6	57.8	5.39	1.58	39.6	1.56	5213
112	Sudan	SDN	5	42813.2	65.3	4.24	1.34	39.6	1.56	3958
113	Ghana	GHA	5	30417.9	64.1	4.97	2.10	39.5	1.56	5413
114	Mali	MLI	5	19658.0	59.3	4.99	1.41	39.3	1.56	2322
115	Rwanda	RWA	5	12626.9	69.0	3.27	0.61	39.2	1.56	2227
116	Lebanon	LBN	4	6855.7	78.9	4.02	3.05	39.0	1.56	14552
117	Malawi	MWI	5	18628.7	64.3	3.87	0.89	38.7	1.56	1060
118	Kazakhstan	KAZ	7	18551.4	73.6	6.27	5.72	38.6	1.56	26352
119	Haiti	HTI	1	11263.1	64.0	3.61	0.62	38.2	1.56	2905
120	Guinea	GIN	5	12771.2	61.6	4.77	1.77	38.1	1.56	2562
121	Burundi	BDI	5	11530.6	61.6	3.78	0.59	37.7	1.56	752
122	United States of America	USA	2	329064.9	78.9	6.94	8.21	37.4	1.56	62530
123	Togo	TGO	5	8082.4	61.0	4.18	1.09	37.3	1.56	1597
124	Tanzania	TZA	5	58005.5	65.5	3.64	1.09	37.0	1.56	2660
125	Lithuania	LTU	7	2759.6	75.9	6.06	6.42	36.9	1.56	37181
126	Namibia	NAM	5	2494.5	63.7	4.44	1.94	36.8	1.56	9637
127	Bhutan	BTN	6	763.1	71.8	5.20	4.39	36.7	1.56	11832
128	India	IND	6	1366417.8	69.7	3.25	1.22	36.4	1.56	6700
129	South Africa	ZAF	5	58558.3	64.1	5.03	2.97	36.2	1.56	12482
130	Eswatini	SWZ	5	1148.1	60.2	4.40	1.67	35.3	1.56	8622
131	Russia	RUS	7	145872.3	72.6	5.44	5.46	34.9	1.56	27044
132	Mauritania	MRT	5	4525.7	64.9	4.15	2.24	34.7	1.56	5197
133	Estonia	EST	7	1325.6	78.8	6.03	7.85	34.4	1.56	36948
134	Zambia	ZMB	5	17861.0	63.9	3.31	0.93	34.4	1.56	3470
135	United Arab Emirates	ARE	4	9770.5	78.0	6.71	8.94	34.3	1.56	67119
136	Latvia	LVA	7	1906.7	75.3	5.97	7.15	34.1	1.56	30965
137	Nigeria	NGA	5	200963.6	54.7	4.36	0.99	34.1	1.56	5135
138	Hong Kong	HKG	8	7436.2	84.9	5.66	8.60	33.9	1.56	59848
139	Bahrain	BHR	4	1641.2	77.3	7.10	9.80	33.6	1.56	45011
140	Kuwait	KWT	4	4207.1	75.5	6.11	7.77	33.3	1.56	49854
141	Turkmenistan	TKM	7	5942.1	68.2	5.47	5.36	33.0	1.56	..
142	Botswana	BWA	5	2303.7	69.6	3.47	2.66	31.9	1.56	17767
143	Luxembourg	LUX	3	615.7	82.3	7.40	12.59	31.7	1.56	114304
144	Trinidad and Tobago	TTO	1	1395.0	73.5	6.19	8.24	31.6	1.56	26176
145	Chad	TCD	5	15946.9	54.2	4.25	1.67	30.4	1.56	1580
146	Afghanistan	AFG	6	38041.8	64.8	2.38	0.73	29.4	1.56	2065
147	Sierra Leone	SLE	5	7813.2	54.7	3.45	0.97	29.0	1.56	1718
148	Zimbabwe	ZWE	5	14645.5	61.5	2.69	0.98	28.6	1.56	2836
149	Lesotho	LSO	5	2125.3	54.3	3.51	1.45	27.3	1.56	2704
150	Central African Republic	CAF	5	4745.2	53.3	3.08	1.21	25.2	1.56	945
151	Mongolia	MNG	8	3225.2	69.9	5.56	10.08	24.5	1.56	12317
152	Qatar	QAT	4	2832.1	80.2	6.37	15.04	24.3	1.56	90044
