HPIRank,Country,Region,AverageLifeExpectancy,AverageWellbeing,HappyLifeYears,Footprint,InequalityofOutcomes,Inequality-adjustedLifeExpectancy,Inequality-adjustedWellbeing,HappyPlanetIndex,GDPPC,Population
128,South Africa,Sub Saharan Africa,56.285,5.1,18.49334268,3.31,0.332740029,41.79492336,4.582836735,15.86899167,7592.157997,52341695
80,South Korea,Asia Pacific,81.349,6,42.17309759,5.69,0.110594185,78.34418882,5.541108387,24.79036034,24453.97191,50004441
15,Spain,Europe,82.192,6.3,45.27161111,3.67,0.101492729,79.33696998,5.864298709,35.95897674,28647.83524,46773055
28,Sri Lanka,Asia Pacific,74.601,4.2,24.94046396,1.32,0.169405552,68.58829729,3.794311149,33.79177608,3350.686574,20424000
75,Suriname,Americas,70.788,6.3,35.18916458,4.25,0.189257739,61.18477562,5.909348893,25.44715704,9422.270994,528535
132,Swaziland,Sub Saharan Africa,48.91,4.9,13.6261253,2.01,0.410458121,31.81028269,4.441614634,15.53603522,3988.667162,1231694
61,Sweden,Europe,81.847,7.6,57.42578674,7.25,0.056707346,79.11979304,7.416135692,28.03492519,57134.07707,9519374
24,Switzerland,Europe,82.6,7.8,59.31552275,5.79,0.059863953,79.43848916,7.624903986,34.33096962,83208.68654,7996861
113,Syria,Middle East and North Africa,70.385,3.2,14.72884351,1.51,0.303824505,60.18527137,2.605305176,19.10037052,2079.987864,21427155
25,Tajikistan,Post-communist,69.01,4.5,22.17521432,0.91,0.258963455,52.97565773,4.34397993,34.2495974,962.4391249,7930929
97,Tanzania,Sub Saharan Africa,63.544,4,16.20325504,1.32,0.332874686,47.67143504,3.55699894,22.13837929,827.5288808,48645709
9,Thailand,Asia Pacific,74.087,6.3,38.6247693,2.66,0.150002729,66.3499386,5.979426957,37.29010499,5917.917934,67164130
138,Togo,Sub Saharan Africa,58.601,2.866666667,8.970004929,1.13,0.428742394,39.63975809,2.420935527,13.2332692,580.4950618,6745581
130,Trinidad and Tobago,Americas,70.116,6.4,34.3546077,7.92,0.213840039,58.44325825,6.036338804,15.71834672,18322.3238,1341579
71,Tunisia,Middle East and North Africa,74.644,4.5,25.16149355,2.34,0.220079236,65.53990719,3.997165024,26.19714113,4187.543531,10777500
68,Turkey,Middle East and North Africa,74.72,5.3,31.17437834,3.33,0.186394065,66.16181571,4.869893074,26.42456508,10646.03553,74099255
134,Turkmenistan,Post-communist,65.298,5.5,23.9781653,5.47,0.311073773,48.32899106,5.119500137,14.60854424,6797.721166,5172941
112,Uganda,Sub Saharan Africa,57.14,4.3,13.82055997,1.24,0.413861815,36.75768703,3.91796481,19.41910169,656.3980727,35400620
70,Ukraine,Post-communist,70.317,5,28.26314236,2.84,0.167264184,64.19296359,4.560895862,26.38316245,3855.42128,45593300
34,United Kingdom,Europe,80.392,6.9,49.09947035,4.94,0.092973914,76.79000727,6.552046829,31.90928632,41294.5148,63700300
108,United States of America,Americas,78.807,7,46.84822446,8.22,0.129564256,73.97922534,6.490673637,20.74637758,51456.65873,314112078
14,Uruguay,Americas,76.891,6.4,39.4150588,2.91,0.17669975,69.57997631,5.822767562,36.13427977,15127.64415,3396753
51,Uzbekistan,Post-communist,68.171,6,27.89009074,2.32,0.298201671,51.58250281,5.564944463,29.12630723,1719.036196,29774500
4,Vanuatu,Asia Pacific,71.341,6.47,34.89575215,1.86262,0.223331845,60.3213286,5.943032062,40.57009899,3158.420974,247498
29,Venezuela,Americas,73.885,7.1,41.49450918,3.57,0.189279951,65.45373334,6.497572241,33.56995966,12771.59504,29854238
5,Vietnam,Asia Pacific,75.477,5.5,32.77024566,1.65,0.185920591,64.7942649,5.215638977,40.30758931,1754.547974,88809200
94,Yemen,Middle East and North Africa,63.34,4.1,15.20428168,1.03,0.387312703,44.7212188,3.557846121,22.75426851,1289.034078,24882792
77,Zambia,Sub Saharan Africa,58.409,5,16.67424776,0.99,0.408121659,38.67416328,4.469524237,25.22424646,1686.618024,14786581
99,Zimbabwe,Sub Saharan Africa,53.673,5,16.42862727,1.37,0.366084609,36.91400529,4.608568014,22.1125354,850.827694,14565482
